ms12,ms16,r12,r16
Isolated parent,Isolated parent,34132.949,35934.063
Married or pacsed couple,Married or pacsed couple,,27948.174
Married or pacsed couple,Married or pacsed couple,66134.773,47952.797
Married or pacsed couple,Married or pacsed couple,60822.133,54135.617
Married or pacsed couple,Married or pacsed couple,46830.824,40396.156
Married or pacsed couple,Married or pacsed couple,32781.574,40411.758
Married or pacsed couple,Married or pacsed couple,56083.258,13972.483
Married or pacsed couple,Married or pacsed couple,37324.008,18748.207
Married or pacsed couple,Married or pacsed couple,27215.094,21762.172
Married or pacsed couple,Married or pacsed couple,46830.824,54135.617
Isolated parent,Isolated parent,25395.465,26550.77
Married or pacsed couple,Married or pacsed couple,35052.039,51428.836
Isolated parent,Isolated parent,25395.465,26550.77
Married or pacsed couple,Married or pacsed couple,27579.549,30742.992
Isolated parent,Isolated parent,26947.066,34276.895
Married or pacsed couple,Married or pacsed couple,35989.391,24888.381
Married or pacsed couple,Married or pacsed couple,68424.906,97287.563
Married or pacsed couple,Married or pacsed couple,44911.777,47967.445
Married or pacsed couple,Married or pacsed couple,43708.77,44901.957
Married or pacsed couple,Married or pacsed couple,11794.547,15307.847
Married or pacsed couple,Married or pacsed couple,42062.445,44010.059
Married or pacsed couple,Married or pacsed couple,51877.012,58195.789
,Married or pacsed couple,,34504.551
Married or pacsed couple,Married or pacsed couple,13654.328,20268.121
Married or pacsed couple,Isolated parent,39025.684,31247.01
Married or pacsed couple,Married or pacsed couple,33310.012,34312.914
Married or pacsed couple,Married or pacsed couple,17988.453,20410.463
Married or pacsed couple,Married or pacsed couple,32398.92,27049.994
Isolated parent,Cohabitant,44013.547,59869.273
Married or pacsed couple,Married or pacsed couple,36997.184,33100.555
Married or pacsed couple,Married or pacsed couple,69615.547,59959.301
Married or pacsed couple,Married or pacsed couple,14397.875,25982.57
Married or pacsed couple,Isolated parent,15432.059,16768.906
Married or pacsed couple,Married or pacsed couple,68424.906,70864.914
Cohabitant,Isolated parent,48730.887,30932.965
Married or pacsed couple,Married or pacsed couple,83184.453,77090.531
Married or pacsed couple,Married or pacsed couple,42176.539,44901.957
Married or pacsed couple,Married or pacsed couple,69945.461,74836.594
Married or pacsed couple,Married or pacsed couple,31232.291,48909.313
Married or pacsed couple,Married or pacsed couple,17717.449,24083.531
Married or pacsed couple,Married or pacsed couple,68746.531,81203.422
Married or pacsed couple,Married or pacsed couple,35052.039,37730.035
Married or pacsed couple,Married or pacsed couple,43043.898,50075.441
Married or pacsed couple,Isolated parent,28743.537,14251.257
Married or pacsed couple,Married or pacsed couple,49952.875,52385.609
Married or pacsed couple,Married or pacsed couple,40456.637,62255.953
Married or pacsed couple,Married or pacsed couple,43043.898,50075.441
Married or pacsed couple,Married or pacsed couple,46830.824,44901.957
Isolated parent,Isolated parent,75716.977,45546.578
Married or pacsed couple,Married or pacsed couple,38493.809,44343.902
Married or pacsed couple,Married or pacsed couple,47604.438,54135.617
Cohabitant,Cohabitant,95635.836,21492.926
Married or pacsed couple,Married or pacsed couple,44866.609,46114.488
Married or pacsed couple,Married or pacsed couple,44911.777,44901.957
Married or pacsed couple,Married or pacsed couple,51877.012,33100.555
Married or pacsed couple,Married or pacsed couple,53084.152,44901.957
Married or pacsed couple,Married or pacsed couple,51698.816,38351.426
Isolated parent,Isolated parent,20735.311,19134.807
Married or pacsed couple,Married or pacsed couple,71207.133,67352.93
Married or pacsed couple,Married or pacsed couple,49072.848,48909.313
Married or pacsed couple,Married or pacsed couple,47670.766,48722.051
Isolated parent,Cohabitant,35929.422,31926.936
Married or pacsed couple,Married or pacsed couple,106438.74,113739.12
Married or pacsed couple,Isolated parent,38041.898,15321.656
Married or pacsed couple,Married or pacsed couple,145515.7,199043.45
Married or pacsed couple,Married or pacsed couple,42062.445,47336.059
Married or pacsed couple,Married or pacsed couple,34990.832,35335.609
Married or pacsed couple,Married or pacsed couple,76027.672,31112.922
Married or pacsed couple,Married or pacsed couple,64503.945,50649.559
Isolated parent,Cohabitant,23825.877,37496.414
Married or pacsed couple,Married or pacsed couple,27511.752,17358.369
Married or pacsed couple,Married or pacsed couple,20512.096,39058.762
Married or pacsed couple,Married or pacsed couple,65996.672,58195.789
Married or pacsed couple,Married or pacsed couple,66863.703,72909.695
Married or pacsed couple,Married or pacsed couple,14906.32,23616.744
Married or pacsed couple,Married or pacsed couple,98835.969,104771.22
Married or pacsed couple,Married or pacsed couple,23808.246,19473.293
Married or pacsed couple,Married or pacsed couple,46708.25,31342.451
Married or pacsed couple,Isolated parent,23327.225,8904.4785
Married or pacsed couple,Married or pacsed couple,56260.477,49392.148
Married or pacsed couple,Married or pacsed couple,14199.706,30409.174
Isolated parent,Married or pacsed couple,25150.594,29684.66
Cohabitant,Cohabitant,44866.609,43319.668
Married or pacsed couple,Married or pacsed couple,39776.93,16583.5
Married or pacsed couple,,,
Cohabitant,Married or pacsed couple,53891.324,55237.43
Married or pacsed couple,Married or pacsed couple,68424.906,97287.563
Married or pacsed couple,Married or pacsed couple,31156.693,31112.922
Married or pacsed couple,Married or pacsed couple,64961.934,79850.031
Married or pacsed couple,Married or pacsed couple,49072.848,44717.082
Married or pacsed couple,Married or pacsed couple,93970.133,88289.031
Married or pacsed couple,Cohabitant,46830.824,41420.652
Married or pacsed couple,Married or pacsed couple,49952.875,52430.512
Married or pacsed couple,Married or pacsed couple,23825.877,42828.074
Married or pacsed couple,Married or pacsed couple,35903.629,40396.156
Married or pacsed couple,Married or pacsed couple,106117.09,79766.078
Married or pacsed couple,Married or pacsed couple,39025.684,40621.113
Married or pacsed couple,Married or pacsed couple,29812.641,30742.992
Isolated parent,Isolated parent,18327.598,28864.754
Cohabitant,Cohabitant,47475.695,39547.613
Isolated parent,Isolated parent,31470.475,34276.895
Married or pacsed couple,Married or pacsed couple,116869.1,108271.23
Married or pacsed couple,Married or pacsed couple,,25513.078
Married or pacsed couple,Married or pacsed couple,56260.477,53882.344
Cohabitant,Married or pacsed couple,46830.824,46885.148
Married or pacsed couple,Married or pacsed couple,48391.848,50649.559
Married or pacsed couple,Married or pacsed couple,15048.286,15307.847
Married or pacsed couple,Married or pacsed couple,32247.871,34935.219
Married or pacsed couple,Married or pacsed couple,46830.824,43405.219
Isolated parent,Married or pacsed couple,13067.576,28122.309
Married or pacsed couple,Married or pacsed couple,65996.672,67669.516
Married or pacsed couple,Married or pacsed couple,54739.922,67352.93
Married or pacsed couple,Married or pacsed couple,,
Married or pacsed couple,Married or pacsed couple,64503.945,64512.781
Married or pacsed couple,Cohabitant,25122.588,34935.219
Married or pacsed couple,Married or pacsed couple,43814.035,41392.133
Married or pacsed couple,Married or pacsed couple,49952.875,40396.156
Married or pacsed couple,Married or pacsed couple,32381.516,41077.441
Married or pacsed couple,Married or pacsed couple,42062.445,59549.176
Married or pacsed couple,Married or pacsed couple,72986.563,74836.594
Married or pacsed couple,Married or pacsed couple,42062.445,48909.313
Isolated parent,Isolated parent,35929.422,26559.957
Married or pacsed couple,Married or pacsed couple,63863.242,59869.273
Married or pacsed couple,Isolated parent,31220.549,20934.934
Married or pacsed couple,Married or pacsed couple,60822.133,53882.344
Married or pacsed couple,Married or pacsed couple,61871.879,51428.836
Married or pacsed couple,Married or pacsed couple,28511.053,34442.652
,Isolated parent,,31539.518
Married or pacsed couple,Married or pacsed couple,37464.66,34371.711
Married or pacsed couple,Married or pacsed couple,43708.77,44901.957
Married or pacsed couple,Married or pacsed couple,32781.574,35604.016
Married or pacsed couple,Married or pacsed couple,,30601.158
Married or pacsed couple,Married or pacsed couple,76027.672,79326.789
Married or pacsed couple,Married or pacsed couple,76996.117,67669.516
Married or pacsed couple,Married or pacsed couple,51877.012,47199.195
Married or pacsed couple,Married or pacsed couple,49072.848,46114.488
Married or pacsed couple,Married or pacsed couple,85245.703,121805.14
Married or pacsed couple,Cohabitant,104423.33,85656.148
Isolated parent,Married or pacsed couple,43056.887,72053.023
Isolated parent,Isolated parent,39403.941,39034
Isolated parent,Isolated parent,36339.188,37265.383
Married or pacsed couple,Married or pacsed couple,48391.848,48909.313
Married or pacsed couple,Married or pacsed couple,,19185.664
Married or pacsed couple,Married or pacsed couple,19046.598,46885.148
Married or pacsed couple,Married or pacsed couple,28392.99,34935.219
Married or pacsed couple,Married or pacsed couple,28195.789,35934.063
Married or pacsed couple,Married or pacsed couple,14565.604,15034.213
Married or pacsed couple,Married or pacsed couple,14196.495,18166.314
Married or pacsed couple,Married or pacsed couple,23996.459,15385.665
,Cohabitant,,18748.207
Married or pacsed couple,Married or pacsed couple,18455.445,19298.012
Isolated parent,Isolated parent,76503.836,62747.094
Isolated parent,Isolated parent,14196.495,8384.4531
Cohabitant,Cohabitant,54681.176,38269.613
Married or pacsed couple,Married or pacsed couple,53219.371,51923.184
Married or pacsed couple,Married or pacsed couple,23327.225,22961.771
Married or pacsed couple,Married or pacsed couple,26504.088,18249.686
Married or pacsed couple,Married or pacsed couple,14196.495,17715.391
Married or pacsed couple,Married or pacsed couple,6348.8667,34451.625
Married or pacsed couple,Married or pacsed couple,53219.371,28122.309
Married or pacsed couple,Married or pacsed couple,23327.225,26788.73
Married or pacsed couple,Married or pacsed couple,38493.809,31891.346
Married or pacsed couple,Married or pacsed couple,28392.99,44878.988
Isolated parent,Isolated parent,48374.734,33142.461
Married or pacsed couple,Married or pacsed couple,68424.906,42728.273
Married or pacsed couple,Married or pacsed couple,56083.258,74436.477
Married or pacsed couple,Married or pacsed couple,43464.523,38269.613
Married or pacsed couple,Married or pacsed couple,76027.672,31247.01
Married or pacsed couple,Married or pacsed couple,69945.461,74836.594
Married or pacsed couple,Married or pacsed couple,31220.549,59869.273
Married or pacsed couple,Married or pacsed couple,39025.684,37496.414
Married or pacsed couple,Married or pacsed couple,9937.5469,12459.744
Married or pacsed couple,Married or pacsed couple,80589.328,64512.781
Married or pacsed couple,Married or pacsed couple,60822.133,89803.914
Married or pacsed couple,Married or pacsed couple,20509.096,31661.48
Married or pacsed couple,Married or pacsed couple,53219.371,6249.3462
Married or pacsed couple,Married or pacsed couple,82495.828,82762.039
Married or pacsed couple,Married or pacsed couple,26973.344,20961.131
Married or pacsed couple,Married or pacsed couple,41641.012,25455.723
Married or pacsed couple,Married or pacsed couple,33138.555,34371.711
Married or pacsed couple,Married or pacsed couple,56083.258,58390.242
Married or pacsed couple,Married or pacsed couple,51325.078,62175.367
Married or pacsed couple,Married or pacsed couple,37856.199,25513.078
Married or pacsed couple,Married or pacsed couple,,42533.355
Married or pacsed couple,Married or pacsed couple,46830.824,24997.609
Isolated parent,Isolated parent,54684.484,39621.168
Married or pacsed couple,Married or pacsed couple,46830.824,41811.879
Married or pacsed couple,Married or pacsed couple,35123.117,31247.01
Isolated parent,Cohabitant,31742.059,28864.754
Married or pacsed couple,Married or pacsed couple,91233.211,100281.04
Married or pacsed couple,Married or pacsed couple,40586.711,42058.926
Married or pacsed couple,Married or pacsed couple,28392.99,30615.693
Married or pacsed couple,Married or pacsed couple,67266,142173.91
Isolated parent,Isolated parent,19165.27,8367.4355
Isolated parent,Married or pacsed couple,23825.877,20310.557
Married or pacsed couple,Married or pacsed couple,54739.922,52385.609
Married or pacsed couple,Married or pacsed couple,44866.609,64167.742
Married or pacsed couple,Married or pacsed couple,60822.133,41811.879
Married or pacsed couple,Married or pacsed couple,46830.824,59869.273
Married or pacsed couple,Married or pacsed couple,26121.553,24454.656
Married or pacsed couple,Married or pacsed couple,53219.371,60902.57
Married or pacsed couple,Married or pacsed couple,57781.027,50649.559
Married or pacsed couple,Married or pacsed couple,53980.133,41922.262
Married or pacsed couple,Married or pacsed couple,,44901.957
Isolated parent,Isolated parent,21891.311,7015.7588
Married or pacsed couple,Married or pacsed couple,,41811.879
Married or pacsed couple,Married or pacsed couple,23382.43,
Married or pacsed couple,Married or pacsed couple,51325.078,51026.156
Married or pacsed couple,Married or pacsed couple,37464.66,27050.834
Married or pacsed couple,Married or pacsed couple,57781.027,47336.059
Married or pacsed couple,Married or pacsed couple,76027.672,82320.25
Married or pacsed couple,Isolated parent,33642.992,21759.32
Cohabitant,Cohabitant,19046.598,33537.813
Isolated parent,Isolated parent,34424.914,46870.516
Married or pacsed couple,Married or pacsed couple,68424.906,67352.93
Married or pacsed couple,Married or pacsed couple,47596.977,47241.039
Married or pacsed couple,Married or pacsed couple,39025.684,44901.957
Married or pacsed couple,Married or pacsed couple,69615.547,77090.531
Married or pacsed couple,Married or pacsed couple,61795.535,127956.51
Married or pacsed couple,Married or pacsed couple,32336.48,63385.547
Married or pacsed couple,Married or pacsed couple,68424.906,74836.594
Married or pacsed couple,Married or pacsed couple,46830.824,22358.541
Married or pacsed couple,Married or pacsed couple,76027.672,74836.594
Married or pacsed couple,Married or pacsed couple,,24740.617
Married or pacsed couple,Married or pacsed couple,35903.629,40411.758
Married or pacsed couple,Married or pacsed couple,46830.824,40411.758
Married or pacsed couple,Married or pacsed couple,63863.242,59688.355
Married or pacsed couple,Married or pacsed couple,,41898.145
Isolated parent,Cohabitant,73613.727,85656.148
Married or pacsed couple,Married or pacsed couple,40660.363,25513.078
Married or pacsed couple,Married or pacsed couple,42062.445,41922.262
Married or pacsed couple,Married or pacsed couple,42147.742,52385.609
Married or pacsed couple,Married or pacsed couple,144829.97,96083.148
Married or pacsed couple,Married or pacsed couple,64503.945,50649.559
Married or pacsed couple,Married or pacsed couple,38394.336,44878.988
Married or pacsed couple,Married or pacsed couple,56083.258,60902.57
Married or pacsed couple,Isolated parent,,36080.938
Married or pacsed couple,Isolated parent,95469.313,42828.074
Isolated parent,Isolated parent,58890.977,53827.773
Married or pacsed couple,Married or pacsed couple,90364.445,108271.23
Married or pacsed couple,Married or pacsed couple,46830.824,52385.609
Married or pacsed couple,Married or pacsed couple,39258.277,48722.051
Married or pacsed couple,Married or pacsed couple,54739.922,41908.488
Married or pacsed couple,Married or pacsed couple,23327.225,21686.115
Married or pacsed couple,Married or pacsed couple,59588.461,74436.477
Married or pacsed couple,Married or pacsed couple,31156.693,39058.762
Married or pacsed couple,Married or pacsed couple,65996.672,67669.516
Married or pacsed couple,Married or pacsed couple,39522.363,42828.074
Married or pacsed couple,Married or pacsed couple,61691.586,81203.422
Married or pacsed couple,Married or pacsed couple,42062.445,44901.957
Married or pacsed couple,Married or pacsed couple,49172.363,56875.809
Married or pacsed couple,Isolated parent,39522.363,22043.547
Isolated parent,Isolated parent,13173.897,17185.855
Married or pacsed couple,Married or pacsed couple,98995.008,94737.328
Married or pacsed couple,Married or pacsed couple,34735.965,40170.688
Married or pacsed couple,Married or pacsed couple,35052.039,20410.463
Married or pacsed couple,Married or pacsed couple,34413.863,40170.688
Married or pacsed couple,Married or pacsed couple,,24507.871
Married or pacsed couple,Isolated parent,33694.879,36332.629
Isolated parent,Isolated parent,15616.146,11123.936
Married or pacsed couple,Married or pacsed couple,40586.711,40411.758
Married or pacsed couple,Married or pacsed couple,64156.344,74610.445
Married or pacsed couple,Married or pacsed couple,62873.219,74610.445
Married or pacsed couple,Married or pacsed couple,43385.953,54151.754
Isolated parent,Isolated parent,20633.814,22654.082
Cohabitant,Married or pacsed couple,48758.82,34584.105
Married or pacsed couple,Married or pacsed couple,,19462.129
Married or pacsed couple,Married or pacsed couple,44866.609,30086.807
Married or pacsed couple,Married or pacsed couple,46830.824,47895.418
Married or pacsed couple,Married or pacsed couple,64156.344,62175.367
Married or pacsed couple,Married or pacsed couple,83538.656,85656.148
Married or pacsed couple,Married or pacsed couple,39509.59,47336.059
Married or pacsed couple,Married or pacsed couple,36454.117,47336.059
Isolated parent,Isolated parent,39119.219,27060.705
Married or pacsed couple,Married or pacsed couple,49952.875,56875.809
Married or pacsed couple,Married or pacsed couple,53589.105,34442.652
Cohabitant,Married or pacsed couple,28795.75,9431.7881
Married or pacsed couple,Married or pacsed couple,53219.371,37730.035
Cohabitant,Married or pacsed couple,25395.465,24997.609
Isolated parent,Cohabitant,22221.031,28344.623
Married or pacsed couple,Married or pacsed couple,19046.598,40396.156
Married or pacsed couple,Married or pacsed couple,27752.4,31870.115
Married or pacsed couple,Isolated parent,14322.091,24997.609
Married or pacsed couple,Married or pacsed couple,,131426
Married or pacsed couple,Married or pacsed couple,41196.309,54135.617
Married or pacsed couple,Married or pacsed couple,64616.539,55957.832
Married or pacsed couple,Married or pacsed couple,,6121.623
Married or pacsed couple,Married or pacsed couple,45269.797,50075.441
Married or pacsed couple,Married or pacsed couple,68805.039,67352.93
Married or pacsed couple,Married or pacsed couple,71207.133,82320.25
Married or pacsed couple,Married or pacsed couple,76027.672,67352.93
Married or pacsed couple,Married or pacsed couple,35903.629,43581.441
Isolated parent,Cohabitant,17035.795,19298.012
Married or pacsed couple,Married or pacsed couple,106438.74,170608.67
Married or pacsed couple,Married or pacsed couple,47604.438,39547.613
Married or pacsed couple,Married or pacsed couple,57781.027,67352.93
Married or pacsed couple,Married or pacsed couple,53219.371,37739.758
Married or pacsed couple,Married or pacsed couple,28511.053,22961.771
Married or pacsed couple,Married or pacsed couple,40586.711,40524.855
Married or pacsed couple,Married or pacsed couple,34620.906,39058.762
Married or pacsed couple,Married or pacsed couple,44911.777,35934.063
Married or pacsed couple,Married or pacsed couple,52211.664,37842.012
Isolated parent,Married or pacsed couple,23825.877,47490.641
Married or pacsed couple,Married or pacsed couple,60913.605,40634.051
Married or pacsed couple,Married or pacsed couple,68424.906,54135.617
Married or pacsed couple,Married or pacsed couple,46268.688,49747.754
Married or pacsed couple,Married or pacsed couple,42176.539,44901.957
Married or pacsed couple,Married or pacsed couple,59301.582,56875.809
Married or pacsed couple,Married or pacsed couple,51516.352,40396.156
Married or pacsed couple,Married or pacsed couple,46830.824,42627.84
Married or pacsed couple,Married or pacsed couple,39025.684,39058.762
Married or pacsed couple,Married or pacsed couple,31220.549,46114.488
,Married or pacsed couple,,71101.75
Married or pacsed couple,Married or pacsed couple,36997.184,22172.344
Married or pacsed couple,Married or pacsed couple,32398.92,40441.324
Married or pacsed couple,Married or pacsed couple,12959.568,33068.73
Married or pacsed couple,Married or pacsed couple,45768.594,54736.254
Married or pacsed couple,Married or pacsed couple,60822.133,64359.469
Married or pacsed couple,Married or pacsed couple,53219.371,59869.273
Married or pacsed couple,Married or pacsed couple,83231.031,104060.2
Married or pacsed couple,Married or pacsed couple,69615.547,35816.758
Isolated parent,Isolated parent,32836.617,22048.541
Married or pacsed couple,Married or pacsed couple,60822.133,53882.344
Married or pacsed couple,Married or pacsed couple,62342.691,62862.734
Married or pacsed couple,Married or pacsed couple,44909.441,39058.762
Married or pacsed couple,Married or pacsed couple,51513.91,21570.979
Married or pacsed couple,Married or pacsed couple,60822.133,62862.734
Married or pacsed couple,Isolated parent,37856.199,29412.094
Married or pacsed couple,Married or pacsed couple,12776.847,7086.1558
Married or pacsed couple,Married or pacsed couple,35052.039,46114.488
Married or pacsed couple,Married or pacsed couple,45768.594,58372.539
Married or pacsed couple,Married or pacsed couple,64616.539,81203.422
Married or pacsed couple,Married or pacsed couple,,48909.313
Married or pacsed couple,Isolated parent,49734.336,18040.469
Married or pacsed couple,Isolated parent,16495.508,9942.7373
Married or pacsed couple,Married or pacsed couple,57781.027,48228.203
Married or pacsed couple,Married or pacsed couple,51292.195,64359.469
Married or pacsed couple,Married or pacsed couple,53279.09,59549.176
Married or pacsed couple,Married or pacsed couple,,18591.205
Married or pacsed couple,Married or pacsed couple,46830.824,47895.418
Married or pacsed couple,Married or pacsed couple,60913.605,82229.906
Married or pacsed couple,Married or pacsed couple,60822.133,24696.672
Married or pacsed couple,Married or pacsed couple,51292.195,64512.781
Married or pacsed couple,Married or pacsed couple,39509.59,39061.898
Married or pacsed couple,Married or pacsed couple,53600.492,22654.082
Married or pacsed couple,Married or pacsed couple,51877.012,16768.906
Isolated parent,Isolated parent,15872.165,12482.688
Married or pacsed couple,Married or pacsed couple,31220.549,25231.707
Cohabitant,Cohabitant,31232.291,19134.807
Married or pacsed couple,Married or pacsed couple,34020.809,31247.01
Married or pacsed couple,Married or pacsed couple,,15560.548
Married or pacsed couple,Married or pacsed couple,53589.105,27887.781
Married or pacsed couple,Married or pacsed couple,65383.801,89803.914
Married or pacsed couple,Married or pacsed couple,15854.171,35604.016
Married or pacsed couple,Married or pacsed couple,90364.445,
Married or pacsed couple,Married or pacsed couple,49072.848,58390.242
Married or pacsed couple,Married or pacsed couple,101877.09,61360.828
Married or pacsed couple,Married or pacsed couple,53279.09,39061.898
Married or pacsed couple,Married or pacsed couple,20742.891,16571.23
Married or pacsed couple,Married or pacsed couple,76027.672,79326.789
Isolated parent,Isolated parent,17459.383,36010.801
Married or pacsed couple,Married or pacsed couple,40660.363,34935.219
Married or pacsed couple,Married or pacsed couple,59658.559,57201.34
Married or pacsed couple,Married or pacsed couple,76027.672,79326.789
Married or pacsed couple,Married or pacsed couple,10995.574,17715.391
Cohabitant,Cohabitant,14167.521,16740.385
Married or pacsed couple,Married or pacsed couple,49400.387,49750.504
Married or pacsed couple,Married or pacsed couple,69034.266,71729.695
Married or pacsed couple,Married or pacsed couple,108327.52,89803.914
Married or pacsed couple,Isolated parent,14349.881,17914.779
Married or pacsed couple,Married or pacsed couple,44379.668,40820.926
Married or pacsed couple,Married or pacsed couple,,5589.6035
Married or pacsed couple,Married or pacsed couple,16985.361,31870.115
Isolated parent,Isolated parent,14590.31,10587.612
Married or pacsed couple,Married or pacsed couple,28392.99,27961.398
Married or pacsed couple,Married or pacsed couple,54739.922,55379.078
Married or pacsed couple,Married or pacsed couple,35876.215,31292.709
Married or pacsed couple,Married or pacsed couple,120993.9,130308.36
Married or pacsed couple,Isolated parent,26947.066,14361.732
Married or pacsed couple,Married or pacsed couple,90364.445,130308.36
Married or pacsed couple,Married or pacsed couple,42062.445,34935.219
Married or pacsed couple,Married or pacsed couple,35994.684,28315.383
Isolated parent,,18649.795,
Married or pacsed couple,Married or pacsed couple,53600.492,52385.609
Married or pacsed couple,Married or pacsed couple,13467.979,17169.561
Married or pacsed couple,Married or pacsed couple,28511.053,44578.125
Married or pacsed couple,Married or pacsed couple,39025.684,44901.957
Married or pacsed couple,Married or pacsed couple,56083.258,67669.516
Cohabitant,Cohabitant,38651.137,42883.371
Married or pacsed couple,Married or pacsed couple,64503.945,79326.789
Married or pacsed couple,Married or pacsed couple,37856.199,39127.449
Married or pacsed couple,Married or pacsed couple,32802.473,10415.67
Married or pacsed couple,Married or pacsed couple,71207.133,96083.148
Married or pacsed couple,Married or pacsed couple,60802.957,54327.195
Married or pacsed couple,Married or pacsed couple,68424.906,64512.781
Married or pacsed couple,Married or pacsed couple,35994.684,37792.832
Married or pacsed couple,Married or pacsed couple,46830.824,44901.957
Married or pacsed couple,Married or pacsed couple,24134.043,25153.357
Married or pacsed couple,Married or pacsed couple,62342.691,71843.125
Married or pacsed couple,Married or pacsed couple,49072.848,50888.328
Married or pacsed couple,Married or pacsed couple,49072.848,50888.328
Married or pacsed couple,Married or pacsed couple,40586.711,36474.805
Isolated parent,Isolated parent,34150.078,37119.555
Cohabitant,Cohabitant,28392.99,43372.23
Married or pacsed couple,Married or pacsed couple,32398.92,30615.693
Married or pacsed couple,Married or pacsed couple,47670.766,39127.449
Married or pacsed couple,Married or pacsed couple,45269.797,46085.426
Married or pacsed couple,Married or pacsed couple,69615.547,59869.273
Married or pacsed couple,Married or pacsed couple,69034.266,50888.328
Married or pacsed couple,Married or pacsed couple,51698.816,59869.273
Married or pacsed couple,Married or pacsed couple,,36314.918
Married or pacsed couple,Married or pacsed couple,57432.824,142587.52
Married or pacsed couple,Married or pacsed couple,44866.609,36993.961
Married or pacsed couple,Married or pacsed couple,27373.643,39984.965
Married or pacsed couple,Married or pacsed couple,92145.539,101504.28
Married or pacsed couple,Married or pacsed couple,37155.156,48909.313
Married or pacsed couple,Married or pacsed couple,54739.922,48909.313
Married or pacsed couple,Married or pacsed couple,60913.605,56361.875
Married or pacsed couple,Married or pacsed couple,17024.006,20961.131
Married or pacsed couple,Married or pacsed couple,53219.371,53882.344
Married or pacsed couple,Married or pacsed couple,,86964.297
Married or pacsed couple,Married or pacsed couple,41367.227,41908.488
Married or pacsed couple,Married or pacsed couple,32009.52,31870.115
Married or pacsed couple,Married or pacsed couple,37856.199,31353.73
Married or pacsed couple,Married or pacsed couple,,67352.93
Married or pacsed couple,Married or pacsed couple,91233.211,97287.563
Isolated parent,Isolated parent,10996.559,17967.773
Married or pacsed couple,Married or pacsed couple,58541.309,59869.273
Married or pacsed couple,Isolated parent,57740.707,26683.863
Married or pacsed couple,Married or pacsed couple,35929.422,36080.938
Married or pacsed couple,Married or pacsed couple,71207.133,82320.25
Married or pacsed couple,Married or pacsed couple,37845.02,32288.576
Married or pacsed couple,Married or pacsed couple,57781.027,50649.559
Married or pacsed couple,Married or pacsed couple,51292.195,52385.609
Married or pacsed couple,Married or pacsed couple,39509.59,33330.145
Married or pacsed couple,Married or pacsed couple,39025.684,30742.992
Married or pacsed couple,Married or pacsed couple,40586.711,40396.156
Married or pacsed couple,Married or pacsed couple,50041.945,51026.156
Married or pacsed couple,Married or pacsed couple,42062.445,27887.781
Married or pacsed couple,Married or pacsed couple,38493.809,29345.584
Married or pacsed couple,Married or pacsed couple,31220.549,23435.258
Married or pacsed couple,Married or pacsed couple,35903.629,37496.414
Married or pacsed couple,Married or pacsed couple,35991.711,22961.771
Married or pacsed couple,Married or pacsed couple,39130.332,39127.449
Married or pacsed couple,Married or pacsed couple,37856.199,34935.219
Married or pacsed couple,Married or pacsed couple,53219.371,67352.93
Married or pacsed couple,Married or pacsed couple,72871.328,67669.516
Isolated parent,Isolated parent,32398.92,40820.926
Married or pacsed couple,Isolated parent,60822.133,24908.021
Married or pacsed couple,Married or pacsed couple,25553.693,17515.99
Married or pacsed couple,Married or pacsed couple,41367.227,41908.488
Cohabitant,Isolated parent,64503.945,59959.301
Married or pacsed couple,Married or pacsed couple,43708.77,46398.688
Married or pacsed couple,Married or pacsed couple,43814.035,50649.559
Married or pacsed couple,Married or pacsed couple,55978.98,54736.254
Married or pacsed couple,Married or pacsed couple,30880.447,41811.879
Married or pacsed couple,Married or pacsed couple,61691.586,71729.695
Married or pacsed couple,Married or pacsed couple,17459.383,20310.557
Married or pacsed couple,Cohabitant,,11798.449
Married or pacsed couple,Married or pacsed couple,36333.133,40459.012
Married or pacsed couple,Isolated parent,53219.371,21467.275
Married or pacsed couple,Married or pacsed couple,42176.539,35604.016
Married or pacsed couple,Married or pacsed couple,48391.848,40396.156
Married or pacsed couple,Married or pacsed couple,55978.98,59869.273
Married or pacsed couple,Married or pacsed couple,24843.869,25153.357
Married or pacsed couple,Married or pacsed couple,,125376.13
Married or pacsed couple,Married or pacsed couple,69615.547,74184.68
Married or pacsed couple,Married or pacsed couple,46830.824,47895.418
Married or pacsed couple,Married or pacsed couple,14906.32,18942.494
Isolated parent,Cohabitant,20201.969,22062.537
Married or pacsed couple,Married or pacsed couple,43708.77,30756.559
Married or pacsed couple,Married or pacsed couple,68424.906,58390.242
Married or pacsed couple,Married or pacsed couple,43708.77,48722.051
Married or pacsed couple,Married or pacsed couple,60822.133,46606.832
Isolated parent,Isolated parent,26381.502,25256.66
Married or pacsed couple,Married or pacsed couple,43708.77,38788.125
Married or pacsed couple,Married or pacsed couple,39522.363,40396.156
Married or pacsed couple,Married or pacsed couple,51292.195,41811.879
Married or pacsed couple,Married or pacsed couple,43795.031,70864.914
Married or pacsed couple,Married or pacsed couple,,20310.557
Married or pacsed couple,Married or pacsed couple,106438.74,66779.867
Married or pacsed couple,Married or pacsed couple,35052.039,16768.906
Married or pacsed couple,Married or pacsed couple,31232.291,39545.266
Married or pacsed couple,Married or pacsed couple,,100867.88
Married or pacsed couple,Married or pacsed couple,25112.652,28633.533
Married or pacsed couple,Married or pacsed couple,39963.273,48228.203
