ms12,ms16,r12,r16
Married or pacsed couple,Isolated parent,21635.012,17772.375
Cohabitant,Cohabitant,19046.598,8383.2256
Isolated parent,Isolated parent,13400.639,21648.563
Isolated parent,Isolated parent,14790.37,19844.516
Isolated parent,Married or pacsed couple,,21587.518
Married or pacsed couple,Isolated parent,4232.5776,21724.676
Married or pacsed couple,Married or pacsed couple,25395.465,23435.258
Married or pacsed couple,Married or pacsed couple,15337.504,13720.258
Married or pacsed couple,Married or pacsed couple,25919.137,25754.191
Married or pacsed couple,Married or pacsed couple,39025.684,35934.063
Married or pacsed couple,Married or pacsed couple,19439.352,40820.926
Married or pacsed couple,Married or pacsed couple,25553.693,16768.906
Married or pacsed couple,Married or pacsed couple,35052.039,31870.115
Married or pacsed couple,Married or pacsed couple,37856.199,27118.004
Married or pacsed couple,Isolated parent,48730.887,39660.477
Isolated parent,Isolated parent,24691.295,33142.461
Married or pacsed couple,Married or pacsed couple,53219.371,59869.273
Married or pacsed couple,Married or pacsed couple,53699.719,48722.051
Married or pacsed couple,Married or pacsed couple,77548.227,74836.594
Married or pacsed couple,Married or pacsed couple,69034.266,50888.328
Married or pacsed couple,Married or pacsed couple,130618.41,87045.516
Married or pacsed couple,Married or pacsed couple,68313.555,65569.484
Married or pacsed couple,Married or pacsed couple,63673.398,70864.914
Married or pacsed couple,Isolated parent,53219.371,39401.832
Married or pacsed couple,Married or pacsed couple,52211.664,10822.135
Married or pacsed couple,Isolated parent,57740.707,74705.469
Married or pacsed couple,Married or pacsed couple,132805.19,169181.98
Married or pacsed couple,Married or pacsed couple,10313.338,13283.936
Married or pacsed couple,Married or pacsed couple,45269.797,44901.957
Married or pacsed couple,Married or pacsed couple,46830.824,40396.156
Married or pacsed couple,Married or pacsed couple,56083.258,34935.219
Married or pacsed couple,Married or pacsed couple,63863.242,61366.004
Married or pacsed couple,Married or pacsed couple,15554.722,17103.941
Married or pacsed couple,Isolated parent,35929.422,33142.461
Married or pacsed couple,Married or pacsed couple,35876.215,31870.115
Married or pacsed couple,Married or pacsed couple,39025.684,36474.805
Married or pacsed couple,Married or pacsed couple,12066.428,21802.729
Married or pacsed couple,Married or pacsed couple,45768.594,34078.258
Married or pacsed couple,Married or pacsed couple,38493.809,55957.832
Married or pacsed couple,Married or pacsed couple,74507.109,89803.914
Married or pacsed couple,Married or pacsed couple,35994.684,23752.096
Married or pacsed couple,Married or pacsed couple,59800.41,33100.555
Married or pacsed couple,Married or pacsed couple,37856.199,33100.555
Married or pacsed couple,Married or pacsed couple,42147.742,58372.539
Married or pacsed couple,Isolated parent,23808.246,16768.906
Married or pacsed couple,Married or pacsed couple,49072.848,51428.836
Married or pacsed couple,Married or pacsed couple,45315.449,51026.156
Married or pacsed couple,Married or pacsed couple,43708.77,40396.156
Married or pacsed couple,Married or pacsed couple,46830.824,50649.559
Married or pacsed couple,Married or pacsed couple,50683.508,38269.613
Married or pacsed couple,Married or pacsed couple,32001.063,39058.762
Married or pacsed couple,Cohabitant,18313.568,21872.908
Married or pacsed couple,Married or pacsed couple,28392.99,25513.078
Married or pacsed couple,Married or pacsed couple,15616.146,17340.889
Married or pacsed couple,Married or pacsed couple,34342.855,22379.117
Married or pacsed couple,Married or pacsed couple,87019.43,102787.39
Married or pacsed couple,Married or pacsed couple,144829.97,70864.914
Married or pacsed couple,Married or pacsed couple,19046.598,24855.303
Married or pacsed couple,Married or pacsed couple,15551.482,17348.893
Married or pacsed couple,Married or pacsed couple,60822.133,54135.617
Married or pacsed couple,Married or pacsed couple,16649.654,25982.57
Married or pacsed couple,Married or pacsed couple,46830.824,57309.863
Isolated parent,Isolated parent,28743.537,32472.846
Married or pacsed couple,Married or pacsed couple,48371.809,30739.787
Married or pacsed couple,Married or pacsed couple,19871.73,22185.998
Married or pacsed couple,Isolated parent,,25513.078
Married or pacsed couple,Married or pacsed couple,64503.945,77830.055
